"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20151126","1.03303485079352","1.15723204756313","1.40923304523079","1.62112406482899","1.01972683715907"
"20151127","1.20302726697141","1.09380909621329","1.31827941512411","1.51604274250075","0.971247505770636"
"20151130","1.20107912918241","1.0967062888159","1.32912335535608","1.52922082194916","0.972017326052985"
"20151201","1.17340861494361","1.10017704393917","1.32912351817801","1.51935857639435","0.975571405272539"
"20151202","1.1289284546397","1.12583173568314","1.33247830112906","1.49527972878253","1.02282563110868"
"20151203","1.13165236872682","1.14108469811335","1.3590151813535","1.54955755503741","1.02408988711688"
"20151204","1.13041390970381","1.12203967859618","1.34087242267139","1.5404242779693","0.997509556705337"
"20151207","1.09940025186639","1.12583877033085","1.35417220600425","1.56673809489751","0.996686357002232"
"20151208","1.09431769952758","1.10455740129291","1.32523874985977","1.54013646702047","0.983688988112574"
"20151209","1.082639309246","1.10531166831604","1.32142383214753","1.52654927260503","0.985933170462999"
"20151210","1.07371962122635","1.0999181307063","1.32447169576919","1.54233882157724","0.980720418314924"
"20151211","1.07025819783339","1.09326106214268","1.31603833414283","1.52848327063098","0.974581202455703"
"20151214","1.08151565119984","1.12066337046206","1.34485830340531","1.55021099460712","1.00472992426197"
"20151215","1.05986001238459","1.11738025899599","1.3552370613964","1.57105869226258","0.991797043370883"
"20151216","1.05327461089426","1.11923686486442","1.35864313325395","1.58102278741757","0.988761239634074"
"20151217","1.01838902920119","1.13954894857482","1.38601756946268","1.62255625330797","1.00198589751484"
"20151218","0.90718514962394","1.13921949787894","1.38054642712522","1.61944240204844","1.008024179255"
"20151221","0.9256333187223","1.15943471990165","1.39598569055791","1.61924900224584","1.04015563658392"
"20151222","0.963270645042337","1.16239340996749","1.40883885334939","1.62493140887179","1.03848726965303"
"20151223","0.975575222470378","1.15740294812218","1.39312767730127","1.59294033501652","1.04140171113704"
"20151224","0.945758277846195","1.14988956239717","1.3868098609517","1.59971390561746","1.03253781493026"
"20151225","0.914215839751752","1.15480076508956","1.3946865344151","1.59911310741414","1.03694055621107"
"20151228","0.978747904012468","1.12483666725766","1.36651150279915","1.56521378402735","1.00327020721034"
"20151229","0.948993578102931","1.13437227546662","1.37867674295579","1.57341725435221","1.01220341761429"
